name,location,length,gain,highpoint,rating,description
Badger Mountain Flats,Central Washington,"0.6 miles, roundtrip",30,240.0,0.00,"This short trail in the City of Richland’s Trailhead Park was built in sections by Boy Scouts for their Eagle Scout Projects and then graveled by the Tri-Cities Rotary Clubs. The Badger Flats Trail heads west through open sagebrush and grasses, then loops back along the face of Badger Mountain. To make a complete loop, take the Canyon Trail back to the parking lot."
Badger Mountain - Skyline Trail,Central Washington -- Tri-Cities,"5.8 miles, roundtrip",1100,1500.0,0.00,"The Skyline Trail roughly follows the ridgeline up to the summit of Badger Mountain, then back down to meet the Sagebrush Trail and the Langdon Trail at the Triple Junction. The graved path is 3.5 feet wide and popular with hikers, runners, mountain bikers and equestrians. The trail has mostly sagebrush at both ends with native dryland grasses in the middle. Balsamroot and purple sagebrush can be found blossoming in the spring."
Snoqualmie Ridge Trail – Deep Creek Trail,Snoqualmie Region -- North Bend Area,"7.62 miles, roundtrip",500,840.0,4.00,Deep Creek Trail begins at Azalea Park and connects to a variety of local trails in the city of Snoqualmie.
Roaring Creek,Snoqualmie Region -- North Bend Area,"0.6 miles, one-way",105,1486.0,5.00,"The Roaring Creek Trail connects the popular Mount Si and Mount Teneriffe Trails. This short trail through serene forests can be used to make a small loop with nearby trails such as Talus Loop Trail, or as a connector for a challenging day that includes both Mount Si Trail and Mount Teneriffe Trail."
Sorcery Mountain,Snoqualmie Region -- North Bend Area,"7.5 miles, roundtrip",3800,5273.0,0.00,
Yost Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.5 miles, roundtrip",220,360.0,2.50,"Explore this Edmonds park, centered on the deep ravine of Shell Creek. Enjoy the surrounding second growth forest, with its tall red alder and fir trees. Observe spring wildflowers or, seasonally, fall colors. And appreciate the sounds of a multitude of bird calls."
Lennox Creek (Dog Mountain),Snoqualmie Region -- North Bend Area,"9.0 miles, roundtrip",3800,5408.0,3.00,This abandoned trail climbs from the Lennox Creek Valley under thick canopy to a prominent peak in between the North Fork and Middle Fork Snoqualmie Rivers.
Hock Mountain,North Cascades -- North Cascades Highway - Hwy 20,"16.0 miles, roundtrip",5000,7750.0,3.00,"Hike a valley trail through old growth forest to the base of a peak, then an off trail class 2 scramble to the summit."
Mailbox Peak - Old Trail,Snoqualmie Region -- North Bend Area,"5.4 miles, roundtrip",4000,4822.0,4.40,"You may have heard Mailbox Peak mentioned in slightly hushed tones, the kind reserved for stories about some legendary storm or a bad accident. What inspires such reverence? The original route, which entails 4,000 feet of climbing in less than three miles. The newer, gentler trail takes twice as much distance to achieve the summit, but nothing will permanently erase the original trail's fearsome reputation."
Wonderland Trail,Mount Rainier Area,"93.0 miles, roundtrip",22000,6750.0,5.00,"The Wonderland Trail is a 93-mile hiking trail that encircles Washington's most famous volcano. Each year, hikers vie for permits to embark on a backpacking trip on it, with only a handful scoring the permits to undertake this strenuous hike."
Clear Creek Trail,Olympic Peninsula -- Kitsap Peninsula,"2.8 miles, roundtrip",35,58.0,0.00,Observe extensive creek restoration efforts while exploring one of the best urban trails in Kitsap County.
Phantom Lake Loop,Puget Sound and Islands -- Seattle-Tacoma Area,"3.2 miles, roundtrip",130,370.0,2.50,"Hike all the way around the Phantom Lake area, nestled in between Bellevue's Weowna Park and the main section of Lake Hills Greenbelt Park. Enjoy expansive views across the lake from both the western end and eastern end. Much of the hiking path is bordered by trees that give the illusion of a more rural setting."
Cornell Butte,Eastern Washington -- Okanogan Highlands/Kettle River Range,"3.25 miles, roundtrip",600,5088.0,0.00,"This hike may seem virtually an informality after the arduous drive to its trailhead. However, if fire lookouts intrigue you, and the aesthetic of the rough Okanogan Highlands appeal to you, then this hike is for you."
Fauntleroy Park,Puget Sound and Islands -- Seattle-Tacoma Area,1.5 miles of trails,350,360.0,0.00,"Fauntleroy Park, in West Seattle, is a few blocks southeast of the Vashon Island Ferry dock. The park offers some impressively tall trees, both conifers and deciduous trees. There is a good system of short trails, with boardwalks, rustic stairs and viewing platforms. Wildflowers are common in spring, and many wild birds make the park their home."
Nannie Peak Loop,South Cascades -- Goat Rocks,"14.1 miles, roundtrip",1800,5800.0,4.00,"Head to the site of a former fire lookout for expansive sunset views, then wait for darkness to enjoy a star-spangled night sky before heading back to camp."
Dexter Ridge,Eastern Washington -- Palouse and Blue Mountains,"5.0 miles, one-way",2547,5500.0,0.00,This unmaintained trail follows Dexter Ridge south across the Washington-Oregon border and down to the Wenaha River.
Blue Horse Trail,South Cascades -- Mount St. Helens,"10.4 miles, roundtrip",1250,4000.0,2.50,"Hike a trail on the southwest flanks of Mount St. Helens. While mudflows and flooding rendered the land close to St. Helens difficult to negotiate even for two-legged hikers, the Blue Horse trail has been cultivated enough that the way is passable and pleasant for both horses and hikers."
Mount Roosevelt,Snoqualmie Region -- Snoqualmie Pass,"12.0 miles, roundtrip",3500,5835.0,0.00,A climb off I-90 near Melakwa Lake. Gear and climbing experience required.
Bell Point and English Camp,Puget Sound and Islands -- San Juan Islands,"1.7 miles, roundtrip",50,50.0,0.00,"English Camp is the historical site of the Royal British Marines’ outpost established in the 1860’s. Part of a joint English-American occupation of San Juan Island while international water boundaries were decided, many of the buildings remain for visitors to explore. The gentle, family-friendly loop trail from English Camp to Bell Point offers hikers peaceful water views and pleasant bird watching."
Frazer Homestead Preserve,Puget Sound and Islands -- San Juan Islands,"2.6 miles, roundtrip",80,210.0,0.00,"The walk to Frazer Homestead Preserve is mellow and straightforward, an easy hike through forests and small meadows. Here, you can spot old homesteads along the hillsides, including the site of the infamous pig fatality that started the otherwise bloodless Pig War."
Ten Day,South Cascades -- Goat Rocks,"1.2 miles, one-way",1800,5700.0,0.00,"This little-used trail gets hikers to Cirque Lake in the Goat Rocks Wilderness. Paralleling Tenday Creek, it's a low-key riverside walk to a lovely little lake."
Copper Pass via Copper Creek,North Cascades -- North Cascades Highway - Hwy 20,"9.8 miles, roundtrip",2710,6720.0,0.00,"Start with a pleasant walk along Bridge & Slate Creeks and then earn your way to the high country with a climb up to the miles of sloping meadows, flowered in July. Finish with a steep climb through the heather to larch fringed Copper Pass with its views to the east/west with scrambles to the north/south."
Moraine Trail,Mount Rainier Area -- SW - Longmire/Paradise,"2.2 miles, roundtrip",400,5850.0,5.00,Sometimes the crowds at Mount Rainier’s Paradise can be overwhelming. Hike the Moraine Trail to get off of asphalt paths and away from the throngs. The reward is a view down into the immense Nisqually River Valley from the very edge of its moraine.
Leadbetter Point State Park - Dune Forest Loop,Southwest Washington -- Long Beach Area,"2.9 miles, roundtrip",60,35.0,1.80,
Goat Creek,South Cascades -- Mount St. Helens,"11.0 miles, roundtrip",400,2400.0,4.33,"Hike along a lush green valley wall above Goat Creek in the Mount St. Helens National Volcanic Monument. Because this part of the monument is so infrequently visited, it's possible you won't see another soul on the trail, meaning you'll get to have the incredible Cathedral Falls all to yourself."
Lake Wynoochee East Shore Trail,Olympic Peninsula -- Hood Canal,"6.0 miles, roundtrip",800,930.0,0.00,"There is one section of the Lake Wynoochee Lakeshore Trail that can be hiked year-round—a pleasant, interesting hike for all ages, at 6 miles round-trip and 800 feet of elevation gain. Its creeks have bridges; it has road access at both ends; it features flowers in spring and summer, autumn color in fall, and provides a pleasant winter outing in clear weather."
Miner's Corner,Puget Sound and Islands -- Seattle-Tacoma Area,"1.0 miles, roundtrip",65,410.0,0.00,"This 13-acre Snohomish County park in Bothell offers about a mile of trails, all of them wide, paved and ADA accessible. The park has a lot of open grassy areas, other areas where the trails pass through forest, and it has a large playground area. Wherever possible, native vegetation has been replanted or maintained."
Columbia Springs ,Southwest Washington -- Vancouver Area,"0.3 miles, roundtrip",10,20.0,4.00,"Just east of Vancouver, off the Evergreen Highway is a delightful little education center that houses a fish hatchery (complete with feeding pond), a small greenspace, and three little trails that are friendly to even the littlest hikers."
Lily and Lizard Lake Loop,Puget Sound and Islands -- Bellingham Area,"7.15 miles, roundtrip",1400,2120.0,3.78,"This is a loop made up of several well signed trails on Blanchard Mountain in the Chuckanuts. The trail offers that other-world ancientness with its dark forests, moss and house-sized boulders. It makes a good year-round hike, with a route that passes by waterfalls, swamps, two lakes, wildlife activity, old growth and evidence of logging operations from the nineteenth century."
Peabody Creek Trail,Olympic Peninsula -- Northern Coast,"5.6 miles, roundtrip",800,1100.0,3.50,"Found on the outskirts of Port Angeles, the Peabody Creek Trail starts out from the Olympic National Park Visitors Center and follows Peabody Creek through a quiet wooded ravine for 2.8 miles. It’s an excellent short hike for visitors, locals, and trail runners alike."
Upper Suiattle River ,North Cascades -- Mountain Loop Highway,"16.0 miles, one-way",2320,4000.0,0.00,"This is a remote and rugged trail that has not been maintained for decades. From the Upper Suiattle River Trail, this route fords the Suiattle River to eventually arrive at Buck Creek Pass."
Lacamas Park - Lacamas Creek,Southwest Washington -- Vancouver Area,"4.5 miles, roundtrip",350,400.0,4.50,"Lacamas Lake Park is a diverse natural area with a surprisingly 'wild' feel for a park this close to town. Picnic by the lake, check out the Camas meadow in bloom, or explore the forest and creeks along the many trails. This hike describes a ""lollipop"" loop starting at the south end of the park, visiting the Lower Falls, then circling around through the park past Round Lake and returning along Lacamas Creek."
Wallace Falls State Park - Jay Lake,Central Cascades -- Stevens Pass - West,"12.2 miles, roundtrip",1600,1840.0,3.20,"Not so scenic but plenty peaceful, Jay Lake is one of a small handful of backcountry camping areas in a state park. Just be sure to get a permit before you head out!"
Watershed Park,Olympic Peninsula -- Olympia,"1.36 miles, roundtrip",150,300.0,4.00,"Discover the area that was the original source of Olympia's drinking water--a delightful little green wetland known as Watershed Park. With thirty structures on the 1.35 mile loop, you can be sure to have an intimate look at the workings of a wetland without getting damp yourself."
Upper Dungeness River,Olympic Peninsula -- Hood Canal,"6.8 miles, roundtrip",600,3100.0,4.33,"The Upper Dungeness River trail is an easy stroll along a roaring river and among towering trees. It’s great for all ages (as long as the trail is snow- and ice-free), and the shelter at Camp Handy is a welcome and dry lunch destination on rainy days."
Tunnel Creek - Dosewallips Trailhead,Olympic Peninsula -- Hood Canal,"6.4 miles, roundtrip",4550,5050.0,4.00,"Tunnel Creek Trail has two trailheads.The south side trailhead is on the Dosewallips Road, but its notoriously steep grade to 5050 Pass means it is seldom used. Try it and you’ll find out why."
Upright Head Preserve,Puget Sound and Islands -- San Juan Islands,"1.2 miles, roundtrip",300,195.0,0.00,"A relaxing walk through land once slated for a housing development, the trail around Upright Head Preserve is an easy hike where one can watch ferries travel from one island to the next while waiting for their own. Remnants of roads and utilities make up part of the trail, with the rest on narrow dirt paths through the dense forest."
Moran State Park - Sunrise Rock,Puget Sound and Islands -- San Juan Islands,"1.4 miles, roundtrip",280,660.0,4.00,"Sunrise (or sunset) offer a time of introspection. In Moran State Park, find this time to mull over life atop Sunrise Rock."
Sherman Point Loop,Eastern Washington -- Okanogan Highlands/Kettle River Range,"3.0 miles, roundtrip",200,1475.0,4.00,Easy access and a gentle grade make this a great wildlife-viewing hike for all ability levels.
Mount Spokane - Burping Brook-Smith Gap Loop,Eastern Washington -- Spokane Area/Coeur d'Alene,"5.0 miles, roundtrip",500,4400.0,0.00,"Take this trail to escape the heat on summer days, or to observe how the snow brings profound quiet to the forest in the middle of winter. Regardless of season, this trail is a good introduction to the trails at Mount Spokane State Park."
Sycamore Access Trail,Issaquah Alps -- Squak Mountain,"3.5 miles, roundtrip",1200,1400.0,4.00,"Hike the steep Sycamore Access Trail on the northeast side of Squak Mountain. Enjoy the mixed forest and a few small streams. Continue farther on the East Ridge Trail and, optionally, extend your hike to make it an interesting loop across the higher slopes of Squak Mountain."
Cape Disappointment State Park - Coastal Forest Loop,Southwest Washington -- Long Beach Area,"1.4 miles, roundtrip",260,140.0,0.00,"Tucked off of Spur Road 100, the opposite direction from the Cape Disappointment State Park camping area, the Coastal Forest Loop offers a chance to experience the signature environment of this area in either a half mile or mile and a half loop. Be sure to snag the brochure offered at the park office with interpretive information corresponding to posts along the way."
Kalama River,South Cascades -- Mount St. Helens,"8.0 miles, roundtrip",500,2500.0,0.00,"Lake hike or river hike? How about a hike with both! Start with an exploration up the verdant Kalama River, then proceed to McBride Lake."
Heart Lake via Lily Basin Trail,South Cascades -- Goat Rocks,"13.0 miles, roundtrip",1900,6148.0,2.50,"The Lily Basin trail climbs gently through corridors of huckleberry, mountain azalea and patches of bear grass to sweet little Heart Lake."
Colville Mountain Loop Trail,Eastern Washington -- Selkirk Range,4.0 miles of trails,900,2900.0,0.00,"Located on the outskirts of Colville, this trail is an ideal place to enjoy a rambling loop hike while peering down onto Main Street and the Colville Valley."
Mount Spokane State Park - Trail 132,Eastern Washington -- Spokane Area/Coeur d'Alene,"0.5 miles, one-way",375,4794.0,0.00,This short trail serves as a connector to form loops of varying distances.
The Yurt,Mount Rainier Area -- SW - Longmire/Paradise,"10.24 miles, roundtrip",1100,4100.0,4.00,The Yurt is by far the most secluded of the four huts within the Mount Tahoma Trail System. A cozy studio in the wilderness surrounded by trees with access for a day hike to Griffin Mountain.
Yurt Snowshoe,Mount Rainier Area -- SW - Longmire/Paradise,"12.5 miles, roundtrip",1740,4100.0,5.00,"The Yurt is by far the most secluded of the four huts within the Mount Tahoma Trail System. A cozy studio in the wilderness surrounded by trees with easy access for a day hike to Griffin Mountain, you'll have to really hoof it through the snow to get there."
Rainbow-McAlester Loop,North Cascades -- North Cascades Highway - Hwy 20,"31.5 miles, roundtrip",6650,6300.0,0.00,"Sample the best the North Cascades has to offer—subalpine lakes, forested valleys and rugged mountain passes—on this multiday trek."
Bridle Trails State Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.5 miles, roundtrip",450,525.0,3.20,"Bridle Trails State Park offers more than 28 miles of pleasant, forested trails conveniently located between Bellevue and Kirkland."
McKenzie Conservation Area,Eastern Washington -- Spokane Area/Coeur d'Alene,3.3 miles of trails,436,2434.0,0.00,"Visit McKenzie to take in the wild side of Newman Lake, where one can watch for moose in the shallows along the 3,000 feet of lakeshore, or possibly see an eagle nab a fish before returning to its nest in the nearby cottonwoods. Mount Spokane and Ragged Ridge make the backdrop for this mellow loop trail system."
Willapa National Wildlife Refuge - Art Walk,Southwest Washington -- Long Beach Area,"0.75 miles, roundtrip",200,225.0,3.29,"Willapa National Wildlife Refuge has several trails available for exploration, but the Art Walk is the most engaging and kid-friendly."
McClellan Meadows to Indian Racetrack Snowshoe,South Cascades -- Mount Adams Area,"15.0 miles, roundtrip",1250,4350.0,4.25,"If you only have a single day and really want to push yourself, then check out this winter route to Indian Racetrack, in the Indian Heaven Wilderness."
Walker Preserve,Puget Sound and Islands -- Seattle-Tacoma Area,"1.0 miles, roundtrip",100,200.0,0.00,"When you need a dose of nature therapy but are limited for time, look for a suburban nature trail. The Walker Preserve in Normandy Park offers a level easy trail, plus optional steep and narrow side trails that lead down to two small creeks. There is even a picnic table available at the small parking lot."
Redmond Central Connector Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"4.6 miles, roundtrip",13,49.0,2.00,An easy walk along a paved rail-to-trail down the Sammamish Valley and through the new urban core of Redmond.
Dalles Ridge Snowshoe,Mount Rainier Area -- Chinook Pass - Hwy 410,"8.0 miles, roundtrip",1800,4000.0,4.00,"You'll enjoy relative silence on this hushed snowshoe along a Forest Service road near Mount Rainier. As you hike, look closely for elk signs, then look up to see gorgeous views of Sun Top and The Mountain standing in all her glory (that is, if she isn't hiding behind clouds)."
Beaver Peak,North Cascades -- Mountain Loop Highway,"2.6 miles, roundtrip",1700,5113.0,0.00,Beaver Peak is the unofficial name for the easy-to-reach peak located three miles north of Silverton.
Twisp Pass via Dagger Lake,North Cascades -- North Cascades Highway - Hwy 20,"15.2 miles, roundtrip",2420,6060.0,0.00,Take a walk in the forest on this trail as it climbs past a shallow lake and continues nearly to treeline at Twisp Pass. The upper half of the trail is flowered in summer and the power of avalanches is evident in the pick-up-sticks debris field shortly before Dagger Lake. At Twisp Pass in an intersection with many informal trails for further exploration.
Naches Trail ,Mount Rainier Area -- Chinook Pass - Hwy 410,"5.7 miles, one-way",2600,5100.0,0.00,The Naches Trail takes visitors along the same route that pioneers took in horse drawn wagons in the 1800s. It is now a hiking trail that leads to a scenic meadow and a historic cabin.
McCormick Forest Park,Olympic Peninsula -- Kitsap Peninsula,"3.0 miles, roundtrip",200,400.0,3.75,"A 122 acre park near Gig Harbor, with trails that offer a wide range of difficulty, from flat, to 200 foot elevation gains."
Twin Ponds Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.25 miles, roundtrip",45,340.0,2.50,"Twin Ponds Park is in the City of Shoreline, and contains several family-friendly trails accessible year-round. The park has two small lakes where diverse waterfowl can be viewed, while areas of forest support other bird life."
Copper Ridge Loop,North Cascades -- Mount Baker Area,"34.0 miles, roundtrip",8600,6260.0,4.36,"Experience the variety offered by the North Cascades: high mountain ridges with spectacular views, a remote river valley, and even a self-propelled cable car river crossing. Popular side trips include Hannegan Peak and Whatcom Pass."
Squibbs Creek,Puget Sound and Islands -- Seattle-Tacoma Area,"0.6 miles, roundtrip",140,700.0,0.00,The Squibbs Creek Trail is part of the City of Bellevue’s Parks and Open Trails System. Take a walk through the old growth trees in the Horizon Heights Open Space.
Mirror Lake via the Pacific Crest Trail (PCT),Snoqualmie Region -- Snoqualmie Pass,"7.0 miles, roundtrip",1180,4195.0,3.80,"This short dayhike on the Pacific Crest Trail (PCT) is a nice alternate route to quiet Mirror Lake, or just a lovely little forest ramble on a quiet section of the well-maintained trail. You could consider it as a first-time backpacking destination, too, since the trail is never particularly steep here."
High Hut,Mount Rainier Area -- SW - Longmire/Paradise,"5.5 miles, roundtrip",1660,4760.0,5.00,"High Hut is the highlight of the Mount Tahoma Trail System. From the warmth of a cozy alpine hut, enjoy some of the best views in the southern Cascades."
Lake Tye,Puget Sound and Islands -- Seattle-Tacoma Area,"2.0 miles, roundtrip",9,45.0,5.00,"Enjoy an easy walk (or a jog) around a small lake in a very green, open setting. If you have occasion to be in the Monroe area anyway, come by for a pre-lunch stroll. Or, Lake Tye can be a pleasant add-on if you stop in Monroe for a meal after a longer hike in the Stevens Pass area. Either way, relax and take in the vista of open fields and forested hills."
Riverside State Park - Deep Creek Canyon,Eastern Washington -- Spokane Area/Coeur d'Alene,"5.5 miles, roundtrip",968,2165.0,3.80,Take advantage of the diversity of Riverside State Park's Trail 25 by doing this close-to-town loop that includes both forested canyon and scenic overlooks.
Klickitat Rail Trail,Southwest Washington -- Columbia River Gorge - WA,"31.0 miles, one-way",200,1550.0,0.00,"Hop aboard for an early-season wildflower bloom amid remote terrain and open air. At a healthy clip or a slow meander, this rail trail is fun at any speed!"
Swofford Pond,South Cascades -- White Pass/Cowlitz River Valley,"3.8 miles, roundtrip",140,922.0,0.00,"The South Swofford Pond Trail is a joint venture by Washington Department of Fish and Wildlife and the Cowlitz River Project of Tacoma Power and runs almost two miles around the south side of Swofford Pond to its southwest corner. It is an easy graded, mostly wooded trail that offers plenty of opportunities to view wildlife, marvel at old-growth cedars and enjoy glimpses of the surrounding Swofford Valley."
Green Lantern Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"2.8 miles, roundtrip",33,463.0,2.83,"The Green Lantern Trail mostly follows the shores of Silver Lake in South Everett, perfect for those looking to stretch their legs and experience the outdoors without having to leave the city. With a multitude of attractions including passing through three parks with water access this trail is ready to please! Disc golfers, beach-goers, kids, birders and fishermen alike may all find something here."
Baldy Mountain,Central Washington -- Yakima,"5.0 miles, roundtrip",1972,3212.0,4.20,This hike in the Yakima River Canyon is an excellent conditioning hike for anyone looking to train in the winter months.
Mount Baldy,Snoqualmie Region -- Cle Elum Area,"8.0 miles, roundtrip",3000,5107.0,4.00,Mount Baldy is an infrequently-visited summit with excellent views along the I-90 corridor near Easton. The trailhead is little more than an hour from Seattle.
Pulaski Tunnel Trail,Eastern Washington -- Spokane Area/Coeur d'Alene,"4.0 miles, roundtrip",800,3720.0,5.00,This North Idaho interpretive trail is easily accessible from I-90 and is not-to-be missed for its rich history of the 1910 fires.
Cowiche Mountain,Central Washington -- Yakima,"7.0 miles, roundtrip",1140,2970.0,0.00,"This moderate climb through wide-open country under usually sunny skies showcases lots of wildflowers and panoramic views of the surrounding shrub-steppe from an airy 2,970-foot summit."
Gypsy Peak,Eastern Washington -- Selkirk Range,"16.0 miles, roundtrip",1750,7309.0,0.00,This challenging trail offers panoramic views across Northeast Washington and into Idaho and Canada.
Buck Creek-Morrison Creek-Wicky Creek Loop,South Cascades -- Mount Adams Area,"8.0 miles, roundtrip",4100,1800.0,2.00,"Get a taste for the south slopes of Mount Adams area when the snow is still in the high country on this eight mile loop combining the Buck Creek Trail, Morrison Creek Trail, and Wicky Creek Trail."
Beacon Rock State Park - Little Beacon Trail,Southwest Washington -- Columbia River Gorge - WA,"0.5 miles, roundtrip",108,683.0,0.00,Little Beacon Trail is a short spur trail off the Hadley Trail in Beacon Rock State Park over moss covered talus to the base of Little Beacon Rock and a view of Beacon Rock.
Beacon Rock State Park - Hadley Trail,Southwest Washington -- Columbia River Gorge - WA,"1.2 miles, roundtrip",175,750.0,0.00,Here's an ADA-accessible forested trail just over half a mile long in Beacon Rock State Park that takes you to a lookout point for Bonneville Dam and the Columbia Gorge. It can also connect you with the Hamilton Mountain Trail from the Beacon Rock Campground.
Margaret's Way,Issaquah Alps -- Squak Mountain,"6.5 miles, roundtrip",1500,1730.0,3.81,"If nature excites you, there's plenty here to be excited about. Cool forest, trickling creeks in deep ravines, and a beautiful new trail built by WTA volunteers await you here."
Thirteenmile via Bear Pot Trailhead,Eastern Washington -- Okanogan Highlands/Kettle River Range,"9.2 miles, roundtrip",1800,4885.0,0.00,"Access some of Washington's loneliest country from this trailhead. But as the name suggests, be on the lookout for wildlife -- it's lonely country but that doesn't mean it's empty."
West Seattle Bridge Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"2.0 miles, roundtrip",20,50.0,0.00,"This paved urban trail follows along SW Spokane Street. Take a walk or ride your bike over the East Waterway, across Harbor Island and over the West Waterway."
North Star Mountain,Central Cascades -- Entiat Mountains/Lake Chelan,"25.0 miles, roundtrip",4500,8096.0,0.00,North Star Mountain can be reached via scrambling from the Cloudy Pass trail.
Barnum Point,Puget Sound and Islands -- Whidbey Island,"2.75 miles, roundtrip",300,130.0,0.00,"Enjoy a series of easy forest trails in this new Island County park. Descend to the beach at both ends of the bluff. Optionally, tide permitting, hike the entire length of the mile-long beach. Either way, finish your hike on more forest trails."
Mickinnick Trail,Eastern Washington -- Spokane Area/Coeur d'Alene,"7.0 miles, roundtrip",2150,4300.0,0.00,"This steep hike near Sandpoint has exceptional views and native plant life. Make your way past meadows, around massive rocky outcroppings and beneath towering old growth timber to marvelous views."
Redmond Powerline Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"6.7 miles, one-way",548,574.0,2.50,A suburban utility easement trail with nice views of the Sammamish Valley and Bear Creek watershed with links to many other local walking opportunities.
Humility Hill,Central Cascades -- Entiat Mountains/Lake Chelan,"5.0 miles, roundtrip",2200,4358.0,0.00,There is no official trail to the peak of Humility Hill. Reaching the peak requires going off trail.
Columbia Hills State Park - Stacker Butte,Southwest Washington -- Columbia River Gorge - WA,"5.0 miles, roundtrip",1150,3200.0,3.00,"If your car can take the chassis-rattling drive to the Stacker Butte trailhead, you'll be rewarded with one of the most gratifying views-per-mile hikes in Washington. The Columbia Hills Natural Area Preserve boasts spreading views of the east side of the Columbia River Gorge, both in Washington and Oregon, and provides one of the only protected areas for houndstongue hawkweed and Idaho fescue grasslands. These protected plants need mininmal disturbance, so it's especially important to stay on trail and four-legged hiking companions have to stay home from this hike."
Forgotten Creek Natural Area Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"0.5 miles, roundtrip",100,115.0,1.00,This little urban trail is tucked away on the far west side of the Providence Regional Medical Center. The trail is closed from sunset to sunrise.
Forest Glen Neighborhood Park,Issaquah Alps -- Cougar Mountain,"1.0 miles, roundtrip",200,980.0,0.00,"The Forest Glen Neighborhood Park, sometimes known as the Forest Glen Greenbelt, includes 1.19 acres with a basketball court, picnic tables, playground and walking trails."
North Fork Walla Walla River,Eastern Washington -- Palouse and Blue Mountains,"20.2 miles, roundtrip",1540,5400.0,0.00,"This well-maintained trail follows along the North Fork Walla Walla River. Large trees provide shade for most of the hike, and all the flora and fauna that come with being near water."
Big Chiwaukum,Central Cascades -- Stevens Pass - East,"17.0 miles, roundtrip",5300,8081.0,0.00,The route to Big Chiwaukum is a Class 3 and involves exposed scrambling. Gear and experience are recommended.
Tumac Mountain Loop,Mount Rainier Area -- Chinook Pass - Hwy 410,"13.5 miles, roundtrip",2400,6340.0,0.00,"Nestled far from civilization, at the end of Deep Creek, you will likely have this glorious loop to yourself. A brief, three-mile section of the famous Pacific Crest Trail makes up the western link of this loop."
Ira Spring Wetland,Olympic Peninsula -- Pacific Coast,"2.9 miles, roundtrip",300,400.0,4.00,"Discover the true beauty of the Bogachiel Rain Forest on the Ira Spring Wetland trail. This short trail will take you on a loop through a fern forest and around a large wetland. While leashed dogs are allowed in on the Ira Wetland trail, they are NOT allowed in the Olympic National Park, the boundary of which is 1.6 miles along the Bogachiel Trail."
Frosty Pass,Central Cascades -- Stevens Pass - East,"11.3 miles, one-way",3500,5700.0,0.00,"Often used to create loops in the Alpine Lakes Wilderness, the Frosty - Wildhorse trail departs from a junction with the Icicle Creek trail and climbs a moderate grade across densely-wooded terrain."
Browns Lake,Eastern Washington -- Selkirk Range,"1.0 miles, roundtrip",20,2440.0,0.00,A short one mile trail around a quiet fishing lake in northeastern Washington.
Lewis and Clark Discovery Trail,Southwest Washington -- Long Beach Area,"7.0 miles, one-way",15,45.0,0.00,"This 8.2-mile trail from the center of Ilwaco along Long Beach provides a nice outing for those wanting to experience the area on foot. The route takes you through forested hills and features nice views of the ocean from the Beard's Hollow Overlook, and then beach and dune walking to the town of Long Beach."
Alger Alp (North Route),Puget Sound and Islands -- Bellingham Area,"5.0 miles, roundtrip",1000,1303.0,3.00,"Whether you're looking for a winter training hike, or some Puget Sound views any time of year, this convenient trail will give you a good workout and some good scenery."
West Tiger No. 1 via Fred's Corner,Issaquah Alps -- Tiger Mountain,"7.0 miles, roundtrip",2450,2948.0,3.12,Hike through some great second-growth forest to reach the second highest summit in the Tigers. Then enjoy a superb viewpoint a short distance west of the summit.
Burnt Mountain,South Cascades -- White Pass/Cowlitz River Valley,"5.0 miles, roundtrip",500,6586.0,4.00,"This short, easy ridge walk climbs to a small summit with huge Cascade views and a chance to see mountain goats."
Roslyn Urban Forest,Snoqualmie Region -- Salmon La Sac/Teanaway,"12.0 miles, roundtrip",1258,3486.0,0.00,"A multi-use trail system in the city of Roslyn, the trails here offer a variety of outings that can be enjoyed by many different users. Views here extend across the Teanaway Valley to the snow covered peaks of the Stuart Range and even Mount Rainier in the southern distance."
West Tiger No. 1 via Dwight's Way,Issaquah Alps -- Tiger Mountain,"8.0 miles, roundtrip",2500,2948.0,0.00,"Hike through some of the nicest second-growth forest in the area, and reach the second highest summit in the Tigers. Then enjoy a superb viewpoint a short distance west of the summit."
Palouse to Cascades Trail - Lake Keechelus,Snoqualmie Region -- Snoqualmie Pass,"4.0 miles, roundtrip",200,2500.0,3.25,"For a nice location in the Central Cascades, try the Iron Horse-John Wayne Trail along the western shore of Lake Keechelus. This is a treat for new snowshoers, especially if it has been recently groomed. Because of its easy accessibility, it can often get crowded on nicer days."
Mica Peak,Eastern Washington -- Spokane Area/Coeur d'Alene,15.36 miles of trails,2000,4800.0,0.00,The conservation area on the west slopes of Mica Peak afford visitors of all backgrounds a healthy workout close to the city of Spokane.
